Statement 1: Deployment of Gross Bank Credit by Major Sectors,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,source_file,source_sheet,Statement 2: Industry-wise Deployment of Gross Bank Credit
(Rs. Crore),,,,,,,,,,SIBCSJ26E31072026E.xlsx,Statement 1,
Sector,Outstanding as on,,,,,Variation (Year-on-Year),,Variation (Financial Year),,SIBCSJ26E31072026E.xlsx,Statement 1,
,"28.Jun,2024","4.Apr,2025","27.Jun,2025","31.Mar,2026","30.Jun,2026","27.Jun,2025 / 28.Jun,2024","30.Jun,2026 / 27.Jun,2025","27.Jun,2025 / 4.Apr,2025","30.Jun,2026 / 31.Mar,2026",SIBCSJ26E31072026E.xlsx,Statement 1,
,185887.125971,185725.976945,178610.448756,178426.665987,180342.638263,-3.9145676049320532,0.9698142068756289,-3.831197071106086,1.0738149846613236,SIBCSJ26E31072026E.xlsx,Statement 2,2.18.7. Other Infrastructure
,266609.865913,300921.291372,289449.517965,353413.386342,374052.040322,8.566694249586778,29.228766021724745,-3.8122172594356414,5.839805388703604,SIBCSJ26E31072026E.xlsx,Statement 2,2.19. Other Industries
,3762913.992569,3985659.551324,4001401.41064,4584304.347049,4771513.112732,6.337838668169528,19.246049647611464,0.3949624676490615,4.083689727177683,SIBCSJ26E31072026E.xlsx,Statement 2,Industries (2.1 to 2.19)
,,,,,,,,,,SIBCSJ26E31072026E.xlsx,Statement 2,"Note: With effect from December 31, 2025, definition of last reporting fortnight has been changed to the last day of the month under the Banking Laws (Amendment) Act 2025. Accordingly, the y-o-y growth rates from December 2025 onwards are based on end-of-month data for the current year and data for the last reporting fortnight (as per old definition) for the corresponding month of the previous year."
(Rs. Crore),,,,,,,,,,SIBCS30062026.xlsx,Statement 1,
Sector,Outstanding as on,,,,,Variation (Year-on-Year),,Variation (Financial Year),,SIBCS30062026.xlsx,Statement 1,
,"31.May,2024","21.Mar,2025","30.May,2025","31.Mar,2026","31.May,2026","30.May,2025 / 31.May,2024","31.May,2026 / 30.May,2025","30.May,2025 / 21.Mar,2025","31.May,2026 / 31.Mar,2026",SIBCS30062026.xlsx,Statement 1,
,,,,,,%,%,%,%,SIBCS30062026.xlsx,Statement 1,
I. Bank Credit (II + III),16784076.14261,18243972.334670212,18287376.911793716,21361434.744850088,21515965.07329619,8.956708468256195,17.654736253728785,0.2379118775630874,0.7234080027482997,SIBCS30062026.xlsx,Statement 1,
II. Food Credit,40258.89,36531.16,70580.71,70271.35,137005.47,75.31707903521435,94.11177643296588,93.20686778082053,94.96632695970689,SIBCS30062026.xlsx,Statement 1,
III. Non-food Credit,16743817.252609998,18207441.174670212,18216796.201793715,21291163.394850086,21378959.60329619,8.797151372122816,17.35850457168266,0.0513802408243828,0.41235984534006376,SIBCS30062026.xlsx,Statement 1,
,,,,,,,,,,SIBCS30062026.xlsx,Statement 1,
1. Agriculture and Allied Activities,2139044.754272,2287060.099496,2298801.702105,2644249.776114,2641483.613083,7.468611748956684,14.906980043742257,0.5133928317663217,-0.10461050449875967,SIBCS30062026.xlsx,Statement 1,
